Year,State,Age group,Sex,Number of death
2001,Johor,75-79,Female,621
2001,Johor,80-84,Male,459
2001,Johor,80-84,Female,609
2001,Johor,85 +,Male,525
2001,Johor,85 +,Female,712
2001,Kedah,Under 1 year,Male,173
2001,Kedah,Under 1 year,Female,149
2001,Kedah,1-4,Male,62
2001,Kedah,1-4,Female,43
2001,Kedah,5-9,Male,44
2001,Kedah,5-9,Female,23
2001,Kedah,10-14,Male,61
2001,Kedah,10-14,Female,22
2001,Kedah,15-19,Male,113
2001,Kedah,15-19,Female,46
2001,Kedah,20-24,Male,139
2001,Kedah,20-24,Female,49
2001,Kedah,25-29,Male,111
2001,Kedah,25-29,Female,47
2001,Kedah,30-34,Male,165
2001,Kedah,30-34,Female,54
2001,Kedah,35-39,Male,171
2001,Kedah,35-39,Female,63
2001,Kedah,40-44,Male,208
2001,Kedah,40-44,Female,94
2001,Kedah,45-49,Male,223
2001,Kedah,45-49,Female,151
2001,Kedah,50-54,Male,329
2001,Kedah,50-54,Female,193
2001,Kedah,55-59,Male,362
2001,Kedah,55-59,Female,201
2001,Kedah,60-64,Male,537
2001,Kedah,60-64,Female,333
2001,Kedah,65-69,Male,611
2001,Kedah,65-69,Female,431
2001,Kedah,70-74,Male,629
2001,Kedah,70-74,Female,568
2001,Kedah,75-79,Male,506
2001,Kedah,75-79,Female,577
2001,Kedah,80-84,Male,453
2001,Kedah,80-84,Female,516
2001,Kedah,85 +,Male,321
2001,Kedah,85 +,Female,419
2001,Kelantan,Under 1 year,Male,198
2001,Kelantan,Under 1 year,Female,136
2001,Kelantan,1-4,Male,71
2001,Kelantan,1-4,Female,61
2001,Kelantan,5-9,Male,54
2001,Kelantan,5-9,Female,40
2001,Kelantan,10-14,Male,55
2001,Kelantan,10-14,Female,33
2001,Kelantan,15-19,Male,125
2001,Kelantan,15-19,Female,45
2001,Kelantan,20-24,Male,132
2001,Kelantan,20-24,Female,45
2001,Kelantan,25-29,Male,137
2001,Kelantan,25-29,Female,45
2001,Kelantan,30-34,Male,176
2001,Kelantan,30-34,Female,45
2001,Kelantan,35-39,Male,173
2001,Kelantan,35-39,Female,61
2001,Kelantan,40-44,Male,157
2001,Kelantan,40-44,Female,105
2001,Kelantan,45-49,Male,162
2001,Kelantan,45-49,Female,122
2001,Kelantan,50-54,Male,243
2001,Kelantan,50-54,Female,165
2001,Kelantan,55-59,Male,374
2001,Kelantan,55-59,Female,196
2001,Kelantan,60-64,Male,386
2001,Kelantan,60-64,Female,293
2001,Kelantan,65-69,Male,357
2001,Kelantan,65-69,Female,265
2001,Kelantan,70-74,Male,437
2001,Kelantan,70-74,Female,492
2001,Kelantan,75-79,Male,443
2001,Kelantan,75-79,Female,522
2001,Kelantan,80-84,Male,388
2001,Kelantan,80-84,Female,440
2001,Kelantan,85 +,Male,299
2001,Kelantan,85 +,Female,319
2001,Melaka,Under 1 year,Male,59
2001,Melaka,Under 1 year,Female,48
2001,Melaka,1-4,Male,18
2001,Melaka,1-4,Female,15
2001,Melaka,5-9,Male,18
2001,Melaka,5-9,Female,9
2001,Melaka,10-14,Male,8
2001,Melaka,10-14,Female,10
2001,Melaka,15-19,Male,58
2001,Melaka,15-19,Female,18
2001,Melaka,20-24,Male,65
2001,Melaka,20-24,Female,11
2001,Melaka,25-29,Male,47
2001,Melaka,25-29,Female,9
2001,Melaka,30-34,Male,64
2001,Melaka,30-34,Female,16
2001,Melaka,35-39,Male,81
2001,Melaka,35-39,Female,23
2001,Melaka,40-44,Male,86
2001,Melaka,40-44,Female,34
2001,Melaka,45-49,Male,98
2001,Melaka,45-49,Female,60
2001,Melaka,50-54,Male,121
2001,Melaka,50-54,Female,82
2001,Melaka,55-59,Male,149
2001,Melaka,55-59,Female,108
2001,Melaka,60-64,Male,225
2001,Melaka,60-64,Female,137
2001,Melaka,65-69,Male,220
2001,Melaka,65-69,Female,194
2001,Melaka,70-74,Male,277
2001,Melaka,70-74,Female,241
2001,Melaka,75-79,Male,204
2001,Melaka,75-79,Female,241
2001,Melaka,80-84,Male,172
2001,Melaka,80-84,Female,218
2001,Melaka,85 +,Male,144
2001,Melaka,85 +,Female,211
2001,Negeri Sembilan,Under 1 year,Male,69
2001,Negeri Sembilan,Under 1 year,Female,64
2001,Negeri Sembilan,1-4,Male,25
2001,Negeri Sembilan,1-4,Female,17
2001,Negeri Sembilan,5-9,Male,11
2001,Negeri Sembilan,5-9,Female,12
2001,Negeri Sembilan,10-14,Male,25
2001,Negeri Sembilan,10-14,Female,9
2001,Negeri Sembilan,15-19,Male,68
2001,Negeri Sembilan,15-19,Female,19
2001,Negeri Sembilan,20-24,Male,84
2001,Negeri Sembilan,20-24,Female,23
2001,Negeri Sembilan,25-29,Male,70
2001,Negeri Sembilan,25-29,Female,23
2001,Negeri Sembilan,30-34,Male,87
2001,Negeri Sembilan,30-34,Female,28
2001,Negeri Sembilan,35-39,Male,115
2001,Negeri Sembilan,35-39,Female,32
2001,Negeri Sembilan,40-44,Male,146
2001,Negeri Sembilan,40-44,Female,62
2001,Negeri Sembilan,45-49,Male,177
2001,Negeri Sembilan,45-49,Female,89
2001,Negeri Sembilan,50-54,Male,191
2001,Negeri Sembilan,50-54,Female,106
2001,Negeri Sembilan,55-59,Male,177
2001,Negeri Sembilan,55-59,Female,96
2001,Negeri Sembilan,60-64,Male,253
2001,Negeri Sembilan,60-64,Female,155
2001,Negeri Sembilan,65-69,Male,285
2001,Negeri Sembilan,65-69,Female,211
2001,Negeri Sembilan,70-74,Male,331
2001,Negeri Sembilan,70-74,Female,272
2001,Negeri Sembilan,75-79,Male,217
2001,Negeri Sembilan,75-79,Female,274
2001,Negeri Sembilan,80-84,Male,211
2001,Negeri Sembilan,80-84,Female,222
2001,Negeri Sembilan,85 +,Male,196
2001,Negeri Sembilan,85 +,Female,272
2001,Pahang,Under 1 year,Male,126
2001,Pahang,Under 1 year,Female,95
2001,Pahang,1-4,Male,51
2001,Pahang,1-4,Female,53
2001,Pahang,5-9,Male,30
2001,Pahang,5-9,Female,20
2001,Pahang,10-14,Male,46
2001,Pahang,10-14,Female,24
2001,Pahang,15-19,Male,105
2001,Pahang,15-19,Female,36
2001,Pahang,20-24,Male,143
2001,Pahang,20-24,Female,49
2001,Pahang,25-29,Male,147
2001,Pahang,25-29,Female,41
2001,Pahang,30-34,Male,155
2001,Pahang,30-34,Female,50
2001,Pahang,35-39,Male,149
2001,Pahang,35-39,Female,39
2001,Pahang,40-44,Male,144
2001,Pahang,40-44,Female,79
2001,Pahang,45-49,Male,195
2001,Pahang,45-49,Female,115
2001,Pahang,50-54,Male,226
2001,Pahang,50-54,Female,116
2001,Pahang,55-59,Male,282
2001,Pahang,55-59,Female,162
2001,Pahang,60-64,Male,373
2001,Pahang,60-64,Female,213
2001,Pahang,65-69,Male,312
2001,Pahang,65-69,Female,213
2001,Pahang,70-74,Male,271
2001,Pahang,70-74,Female,240
2001,Pahang,75-79,Male,265
2001,Pahang,75-79,Female,257
2001,Pahang,80-84,Male,205
2001,Pahang,80-84,Female,262
2001,Pahang,85 +,Male,202
2001,Pahang,85 +,Female,250
2001,Perak,Under 1 year,Male,159
2001,Perak,Under 1 year,Female,123
2001,Perak,1-4,Male,56
2001,Perak,1-4,Female,55
2001,Perak,5-9,Male,47
2001,Perak,5-9,Female,32
2001,Perak,10-14,Male,40
2001,Perak,10-14,Female,27
2001,Perak,15-19,Male,159
2001,Perak,15-19,Female,56
2001,Perak,20-24,Male,190
2001,Perak,20-24,Female,44
2001,Perak,25-29,Male,145
2001,Perak,25-29,Female,59
2001,Perak,30-34,Male,206
2001,Perak,30-34,Female,88
2001,Perak,35-39,Male,284
2001,Perak,35-39,Female,104
2001,Perak,40-44,Male,356
2001,Perak,40-44,Female,142
2001,Perak,45-49,Male,400
2001,Perak,45-49,Female,184
2001,Perak,50-54,Male,498
2001,Perak,50-54,Female,274
2001,Perak,55-59,Male,565
2001,Perak,55-59,Female,329
2001,Perak,60-64,Male,744
2001,Perak,60-64,Female,465
2001,Perak,65-69,Male,961
2001,Perak,65-69,Female,709
2001,Perak,70-74,Male,926
2001,Perak,70-74,Female,818
2001,Perak,75-79,Male,753
2001,Perak,75-79,Female,877
2001,Perak,80-84,Male,564
2001,Perak,80-84,Female,706
2001,Perak,85 +,Male,570
2001,Perak,85 +,Female,862
2001,Perlis,Under 1 year,Male,22
2001,Perlis,Under 1 year,Female,12
2001,Perlis,1-4,Male,4
2001,Perlis,1-4,Female,3
2001,Perlis,5-9,Male,8
2001,Perlis,5-9,Female,5
2001,Perlis,10-14,Male,4
2001,Perlis,10-14,Female,3
2001,Perlis,15-19,Male,16
2001,Perlis,15-19,Female,4
2001,Perlis,20-24,Male,23
2001,Perlis,20-24,Female,4
2001,Perlis,25-29,Male,17
2001,Perlis,25-29,Female,8
2001,Perlis,30-34,Male,16
2001,Perlis,30-34,Female,10
2001,Perlis,35-39,Male,31
2001,Perlis,35-39,Female,13
2001,Perlis,40-44,Male,34
2001,Perlis,40-44,Female,11
2001,Perlis,45-49,Male,31
2001,Perlis,45-49,Female,15
2001,Perlis,50-54,Male,33
2001,Perlis,50-54,Female,23
2001,Perlis,55-59,Male,47
2001,Perlis,55-59,Female,30
2001,Perlis,60-64,Male,53
2001,Perlis,60-64,Female,55
2001,Perlis,65-69,Male,79
2001,Perlis,65-69,Female,64
2001,Perlis,70-74,Male,98
2001,Perlis,70-74,Female,88
2001,Perlis,75-79,Male,92
2001,Perlis,75-79,Female,62
2001,Perlis,80-84,Male,92
2001,Perlis,80-84,Female,93
2001,Perlis,85 +,Male,65
2001,Perlis,85 +,Female,67
2001,Pulau Pinang,Under 1 year,Male,97
2001,Pulau Pinang,Under 1 year,Female,63
2001,Pulau Pinang,1-4,Male,13
2001,Pulau Pinang,1-4,Female,15
2001,Pulau Pinang,5-9,Male,15
2001,Pulau Pinang,5-9,Female,14
2001,Pulau Pinang,10-14,Male,22
2001,Pulau Pinang,10-14,Female,11
2001,Pulau Pinang,15-19,Male,79
2001,Pulau Pinang,15-19,Female,20
2001,Pulau Pinang,20-24,Male,77
2001,Pulau Pinang,20-24,Female,20
2001,Pulau Pinang,25-29,Male,85
2001,Pulau Pinang,25-29,Female,29
2001,Pulau Pinang,30-34,Male,91
2001,Pulau Pinang,30-34,Female,32
2001,Pulau Pinang,35-39,Male,131
2001,Pulau Pinang,35-39,Female,50
2001,Pulau Pinang,40-44,Male,164
2001,Pulau Pinang,40-44,Female,66
2001,Pulau Pinang,45-49,Male,224
2001,Pulau Pinang,45-49,Female,108
2001,Pulau Pinang,50-54,Male,285
2001,Pulau Pinang,50-54,Female,134
2001,Pulau Pinang,55-59,Male,316
2001,Pulau Pinang,55-59,Female,184
2001,Pulau Pinang,60-64,Male,397
2001,Pulau Pinang,60-64,Female,278
2001,Pulau Pinang,65-69,Male,485
2001,Pulau Pinang,65-69,Female,333
2001,Pulau Pinang,70-74,Male,490
2001,Pulau Pinang,70-74,Female,455
2001,Pulau Pinang,75-79,Male,432
2001,Pulau Pinang,75-79,Female,470
2001,Pulau Pinang,80-84,Male,270
2001,Pulau Pinang,80-84,Female,432
2001,Pulau Pinang,85 +,Male,282
2001,Pulau Pinang,85 +,Female,493
2001,Sabah,Under 1 year,Male,42
2001,Sabah,Under 1 year,Female,43
2001,Sabah,1-4,Male,21
2001,Sabah,1-4,Female,15
2001,Sabah,5-9,Male,38
2001,Sabah,5-9,Female,16
2001,Sabah,10-14,Male,41
2001,Sabah,10-14,Female,19
2001,Sabah,15-19,Male,54
2001,Sabah,15-19,Female,34
2001,Sabah,20-24,Male,78
2001,Sabah,20-24,Female,32
2001,Sabah,25-29,Male,86
2001,Sabah,25-29,Female,46
2001,Sabah,30-34,Male,80
2001,Sabah,30-34,Female,54
2001,Sabah,35-39,Male,119
2001,Sabah,35-39,Female,74
2001,Sabah,40-44,Male,147
2001,Sabah,40-44,Female,100
2001,Sabah,45-49,Male,192
2001,Sabah,45-49,Female,88
2001,Sabah,50-54,Male,228
2001,Sabah,50-54,Female,129
2001,Sabah,55-59,Male,274
2001,Sabah,55-59,Female,148
2001,Sabah,60-64,Male,351
2001,Sabah,60-64,Female,200
2001,Sabah,65-69,Male,394
2001,Sabah,65-69,Female,289
2001,Sabah,70-74,Male,377
2001,Sabah,70-74,Female,233
2001,Sabah,75-79,Male,343
2001,Sabah,75-79,Female,268
2001,Sabah,80-84,Male,246
2001,Sabah,80-84,Female,171
2001,Sabah,85 +,Male,198
2001,Sabah,85 +,Female,169
2001,Sarawak,Under 1 year,Male,131
2001,Sarawak,Under 1 year,Female,120
2001,Sarawak,1-4,Male,54
2001,Sarawak,1-4,Female,34
2001,Sarawak,5-9,Male,49
2001,Sarawak,5-9,Female,26
2001,Sarawak,10-14,Male,36
2001,Sarawak,10-14,Female,24
2001,Sarawak,15-19,Male,87
2001,Sarawak,15-19,Female,26
2001,Sarawak,20-24,Male,120
2001,Sarawak,20-24,Female,39
2001,Sarawak,25-29,Male,129
2001,Sarawak,25-29,Female,51
2001,Sarawak,30-34,Male,119
2001,Sarawak,30-34,Female,58
2001,Sarawak,35-39,Male,135
2001,Sarawak,35-39,Female,77
2001,Sarawak,40-44,Male,204
2001,Sarawak,40-44,Female,125
2001,Sarawak,45-49,Male,219
2001,Sarawak,45-49,Female,138
2001,Sarawak,50-54,Male,260
2001,Sarawak,50-54,Female,201
2001,Sarawak,55-59,Male,391
2001,Sarawak,55-59,Female,257
2001,Sarawak,60-64,Male,410
2001,Sarawak,60-64,Female,290
2001,Sarawak,65-69,Male,552
2001,Sarawak,65-69,Female,414
2001,Sarawak,70-74,Male,594
2001,Sarawak,70-74,Female,503
2001,Sarawak,75-79,Male,580
2001,Sarawak,75-79,Female,485
2001,Sarawak,80-84,Male,544
2001,Sarawak,80-84,Female,473
2001,Sarawak,85 +,Male,501
2001,Sarawak,85 +,Female,437
2001,Selangor,Under 1 year,Male,254
2001,Selangor,Under 1 year,Female,200
2001,Selangor,1-4,Male,64
2001,Selangor,1-4,Female,63
2001,Selangor,5-9,Male,67
2001,Selangor,5-9,Female,39
2001,Selangor,10-14,Male,65
2001,Selangor,10-14,Female,34
2001,Selangor,15-19,Male,234
2001,Selangor,15-19,Female,56
2001,Selangor,20-24,Male,213
2001,Selangor,20-24,Female,68
2001,Selangor,25-29,Male,261
2001,Selangor,25-29,Female,66
2001,Selangor,30-34,Male,291
2001,Selangor,30-34,Female,96
2001,Selangor,35-39,Male,380
2001,Selangor,35-39,Female,150
2001,Selangor,40-44,Male,446
2001,Selangor,40-44,Female,191
2001,Selangor,45-49,Male,517
2001,Selangor,45-49,Female,257
2001,Selangor,50-54,Male,626
2001,Selangor,50-54,Female,297
2001,Selangor,55-59,Male,607
2001,Selangor,55-59,Female,340
2001,Selangor,60-64,Male,766
2001,Selangor,60-64,Female,502
2001,Selangor,65-69,Male,773
2001,Selangor,65-69,Female,626
2001,Selangor,70-74,Male,766
2001,Selangor,70-74,Female,723
2001,Selangor,75-79,Male,574
2001,Selangor,75-79,Female,671
2001,Selangor,80-84,Male,476
2001,Selangor,80-84,Female,556
2001,Selangor,85 +,Male,445
2001,Selangor,85 +,Female,608
2001,Terengganu,Under 1 year,Male,126
2001,Terengganu,Under 1 year,Female,100
2001,Terengganu,1-4,Male,30
2001,Terengganu,1-4,Female,30
2001,Terengganu,5-9,Male,44
2001,Terengganu,5-9,Female,21
2001,Terengganu,10-14,Male,34
2001,Terengganu,10-14,Female,24
2001,Terengganu,15-19,Male,97
2001,Terengganu,15-19,Female,20
2001,Terengganu,20-24,Male,113
2001,Terengganu,20-24,Female,25
2001,Terengganu,25-29,Male,128
2001,Terengganu,25-29,Female,27
2001,Terengganu,30-34,Male,125
2001,Terengganu,30-34,Female,43
2001,Terengganu,35-39,Male,133
2001,Terengganu,35-39,Female,36
2001,Terengganu,40-44,Male,108
2001,Terengganu,40-44,Female,54
2001,Terengganu,45-49,Male,116
2001,Terengganu,45-49,Female,79
2001,Terengganu,50-54,Male,127
2001,Terengganu,50-54,Female,85
2001,Terengganu,55-59,Male,227
2001,Terengganu,55-59,Female,131
2001,Terengganu,60-64,Male,269
2001,Terengganu,60-64,Female,188
2001,Terengganu,65-69,Male,226
2001,Terengganu,65-69,Female,169
2001,Terengganu,70-74,Male,262
2001,Terengganu,70-74,Female,266
2001,Terengganu,75-79,Male,255
2001,Terengganu,75-79,Female,285
2001,Terengganu,80-84,Male,241
2001,Terengganu,80-84,Female,256
2001,Terengganu,85 +,Male,181
2001,Terengganu,85 +,Female,185
2001,WP Kuala Lumpur,Under 1 year,Male,96
2001,WP Kuala Lumpur,Under 1 year,Female,85
2001,WP Kuala Lumpur,1-4,Male,22
2001,WP Kuala Lumpur,1-4,Female,14
2001,WP Kuala Lumpur,5-9,Male,19
2001,WP Kuala Lumpur,5-9,Female,16
2001,WP Kuala Lumpur,10-14,Male,15
2001,WP Kuala Lumpur,10-14,Female,17
2001,WP Kuala Lumpur,15-19,Male,43
2001,WP Kuala Lumpur,15-19,Female,22
2001,WP Kuala Lumpur,20-24,Male,82
2001,WP Kuala Lumpur,20-24,Female,30
2001,WP Kuala Lumpur,25-29,Male,72
2001,WP Kuala Lumpur,25-29,Female,31
2001,WP Kuala Lumpur,30-34,Male,129
2001,WP Kuala Lumpur,30-34,Female,35
2001,WP Kuala Lumpur,35-39,Male,133
2001,WP Kuala Lumpur,35-39,Female,55
2001,WP Kuala Lumpur,40-44,Male,207
2001,WP Kuala Lumpur,40-44,Female,77
2001,WP Kuala Lumpur,45-49,Male,235
2001,WP Kuala Lumpur,45-49,Female,106
2001,WP Kuala Lumpur,50-54,Male,266
2001,WP Kuala Lumpur,50-54,Female,137
2001,WP Kuala Lumpur,55-59,Male,270
2001,WP Kuala Lumpur,55-59,Female,145
2001,WP Kuala Lumpur,60-64,Male,344
2001,WP Kuala Lumpur,60-64,Female,183
2001,WP Kuala Lumpur,65-69,Male,326
2001,WP Kuala Lumpur,65-69,Female,230
2001,WP Kuala Lumpur,70-74,Male,341
2001,WP Kuala Lumpur,70-74,Female,318
2001,WP Kuala Lumpur,75-79,Male,277
2001,WP Kuala Lumpur,75-79,Female,287
2001,WP Kuala Lumpur,80-84,Male,223
2001,WP Kuala Lumpur,80-84,Female,283
2001,WP Kuala Lumpur,85 +,Male,229
2001,WP Kuala Lumpur,85 +,Female,346
2001,WP Labuan,Under 1 year,Male,2
2001,WP Labuan,Under 1 year,Female,3
2001,WP Labuan,1-4,Male,2
2001,WP Labuan,1-4,Female,0
2001,WP Labuan,5-9,Male,1
2001,WP Labuan,5-9,Female,2
2001,WP Labuan,10-14,Male,2
2001,WP Labuan,10-14,Female,0
2001,WP Labuan,15-19,Male,3
2001,WP Labuan,15-19,Female,0
2001,WP Labuan,20-24,Male,9
2001,WP Labuan,20-24,Female,0
2001,WP Labuan,25-29,Male,1
2001,WP Labuan,25-29,Female,0
2001,WP Labuan,30-34,Male,4
2001,WP Labuan,30-34,Female,2
2001,WP Labuan,35-39,Male,3
2001,WP Labuan,35-39,Female,1
2001,WP Labuan,40-44,Male,3
2001,WP Labuan,40-44,Female,4
2001,WP Labuan,45-49,Male,7
2001,WP Labuan,45-49,Female,3
2001,WP Labuan,50-54,Male,10
2001,WP Labuan,50-54,Female,4
2001,WP Labuan,55-59,Male,6
2001,WP Labuan,55-59,Female,4
2001,WP Labuan,60-64,Male,5
2001,WP Labuan,60-64,Female,5
2001,WP Labuan,65-69,Male,6
2001,WP Labuan,65-69,Female,7
2001,WP Labuan,70-74,Male,9
2001,WP Labuan,70-74,Female,10
2001,WP Labuan,75-79,Male,13
2001,WP Labuan,75-79,Female,6
2001,WP Labuan,80-84,Male,9
2001,WP Labuan,80-84,Female,3
2001,WP Labuan,85 +,Male,6
2001,WP Labuan,85 +,Female,4
2001,WP Putrajaya,Under 1 year,Male,
2001,WP Putrajaya,Under 1 year,Female,
2001,WP Putrajaya,1-4,Male,
2001,WP Putrajaya,1-4,Female,
2001,WP Putrajaya,5-9,Male,
2001,WP Putrajaya,5-9,Female,
2001,WP Putrajaya,10-14,Male,
2001,WP Putrajaya,10-14,Female,
2001,WP Putrajaya,15-19,Male,
2001,WP Putrajaya,15-19,Female,
2001,WP Putrajaya,20-24,Male,
2001,WP Putrajaya,20-24,Female,
2001,WP Putrajaya,25-29,Male,
2001,WP Putrajaya,25-29,Female,
2001,WP Putrajaya,30-34,Male,
2001,WP Putrajaya,30-34,Female,
2001,WP Putrajaya,35-39,Male,
2001,WP Putrajaya,35-39,Female,
2001,WP Putrajaya,40-44,Male,
2001,WP Putrajaya,40-44,Female,
2001,WP Putrajaya,45-49,Male,
2001,WP Putrajaya,45-49,Female,
2001,WP Putrajaya,50-54,Male,
2001,WP Putrajaya,50-54,Female,
2001,WP Putrajaya,55-59,Male,
2001,WP Putrajaya,55-59,Female,
2001,WP Putrajaya,60-64,Male,
2001,WP Putrajaya,60-64,Female,
2001,WP Putrajaya,65-69,Male,
2001,WP Putrajaya,65-69,Female,
2001,WP Putrajaya,70-74,Male,
2001,WP Putrajaya,70-74,Female,
2001,WP Putrajaya,75-79,Male,
2001,WP Putrajaya,75-79,Female,
2001,WP Putrajaya,80-84,Male,
2001,WP Putrajaya,80-84,Female,
2001,WP Putrajaya,85 +,Male,
2001,WP Putrajaya,85 +,Female,
2002,Malaysia,Under 1 year,Male,1894
2002,Malaysia,Under 1 year,Female,1499
2002,Malaysia,1-4,Male,601
2002,Malaysia,1-4,Female,505
2002,Malaysia,5-9,Male,499
2002,Malaysia,5-9,Female,323
2002,Malaysia,10-14,Male,519
2002,Malaysia,10-14,Female,352
2002,Malaysia,15-19,Male,1442
2002,Malaysia,15-19,Female,506
2002,Malaysia,20-24,Male,1765
2002,Malaysia,20-24,Female,527
2002,Malaysia,25-29,Male,1725
2002,Malaysia,25-29,Female,571
2002,Malaysia,30-34,Male,2069
2002,Malaysia,30-34,Female,694
2002,Malaysia,35-39,Male,2382
2002,Malaysia,35-39,Female,1006
2002,Malaysia,40-44,Male,2898
2002,Malaysia,40-44,Female,1339
2002,Malaysia,45-49,Male,3378
2002,Malaysia,45-49,Female,1799
2002,Malaysia,50-54,Male,4077
2002,Malaysia,50-54,Female,2339
2002,Malaysia,55-59,Male,4937
2002,Malaysia,55-59,Female,2913
2002,Malaysia,60-64,Male,5972
2002,Malaysia,60-64,Female,3855
2002,Malaysia,65-69,Male,6964
2002,Malaysia,65-69,Female,5234
2002,Malaysia,70-74,Male,7060
2002,Malaysia,70-74,Female,6132
2002,Malaysia,75-79,Male,6197
2002,Malaysia,75-79,Female,6211
2002,Malaysia,80-84,Male,4817
2002,Malaysia,80-84,Female,5576
2002,Malaysia,85 +,Male,4188
2002,Malaysia,85 +,Female,5602
2002,Johor,Under 1 year,Male,251
2002,Johor,Under 1 year,Female,174
2002,Johor,1-4,Male,75
2002,Johor,1-4,Female,54
2002,Johor,5-9,Male,55
2002,Johor,5-9,Female,26
2002,Johor,10-14,Male,68
2002,Johor,10-14,Female,44
2002,Johor,15-19,Male,191
2002,Johor,15-19,Female,67
2002,Johor,20-24,Male,239
2002,Johor,20-24,Female,62
2002,Johor,25-29,Male,252
2002,Johor,25-29,Female,72
2002,Johor,30-34,Male,242
2002,Johor,30-34,Female,93
2002,Johor,35-39,Male,347
2002,Johor,35-39,Female,123
2002,Johor,40-44,Male,408
2002,Johor,40-44,Female,177
2002,Johor,45-49,Male,493
2002,Johor,45-49,Female,219
2002,Johor,50-54,Male,485
2002,Johor,50-54,Female,289
2002,Johor,55-59,Male,589
2002,Johor,55-59,Female,374
2002,Johor,60-64,Male,677
2002,Johor,60-64,Female,469
2002,Johor,65-69,Male,793
2002,Johor,65-69,Female,618
2002,Johor,70-74,Male,816
2002,Johor,70-74,Female,708
2002,Johor,75-79,Male,689
2002,Johor,75-79,Female,719
2002,Johor,80-84,Male,547
2002,Johor,80-84,Female,634
2002,Johor,85 +,Male,546
2002,Johor,85 +,Female,774
2002,Kedah,Under 1 year,Male,144
2002,Kedah,Under 1 year,Female,122
2002,Kedah,1-4,Male,47
2002,Kedah,1-4,Female,53
2002,Kedah,5-9,Male,52
2002,Kedah,5-9,Female,31
2002,Kedah,10-14,Male,43
2002,Kedah,10-14,Female,38
2002,Kedah,15-19,Male,146
2002,Kedah,15-19,Female,58
2002,Kedah,20-24,Male,143
2002,Kedah,20-24,Female,39
2002,Kedah,25-29,Male,120
2002,Kedah,25-29,Female,41
2002,Kedah,30-34,Male,163
2002,Kedah,30-34,Female,49
2002,Kedah,35-39,Male,189
2002,Kedah,35-39,Female,76
2002,Kedah,40-44,Male,242
2002,Kedah,40-44,Female,96
2002,Kedah,45-49,Male,287
2002,Kedah,45-49,Female,155
2002,Kedah,50-54,Male,338
2002,Kedah,50-54,Female,217
2002,Kedah,55-59,Male,393
2002,Kedah,55-59,Female,252
2002,Kedah,60-64,Male,515
2002,Kedah,60-64,Female,371
2002,Kedah,65-69,Male,670
2002,Kedah,65-69,Female,490
2002,Kedah,70-74,Male,699
2002,Kedah,70-74,Female,585
2002,Kedah,75-79,Male,627
2002,Kedah,75-79,Female,620
2002,Kedah,80-84,Male,460
2002,Kedah,80-84,Female,543
2002,Kedah,85 +,Male,350
