date,region,revenue $
2022-03-21,Malaysia Timur,2200
2022-03-21,Tengah,14172
2022-03-22,Utara,2961
2022-03-22,Selatan,14207
2022-03-22,Pantai Timur,4973
2022-03-22,Malaysia Timur,4433
2022-03-22,Tengah,11969
2022-03-23,Utara,2869
2022-03-23,Selatan,11426
2022-03-23,Pantai Timur,11983
2022-03-23,Malaysia Timur,956
2022-03-23,Tengah,13992
2022-03-24,Utara,12259
2022-03-24,Selatan,8352
2022-03-24,Pantai Timur,5699
2022-03-24,Malaysia Timur,6944
2022-03-24,Tengah,4493
2022-03-25,Utara,9492
2022-03-25,Selatan,4911
2022-03-25,Pantai Timur,3987
2022-03-25,Malaysia Timur,9719
2022-03-25,Tengah,6015
2022-03-26,Utara,13703
2022-03-26,Selatan,13446
2022-03-26,Pantai Timur,1218
2022-03-26,Malaysia Timur,4496
2022-03-26,Tengah,4735
2022-03-27,Utara,11296
2022-03-27,Selatan,10927
2022-03-27,Pantai Timur,4555
2022-03-27,Malaysia Timur,9146
2022-03-27,Tengah,8050
2022-03-28,Utara,12757
2022-03-28,Selatan,3446
2022-03-28,Pantai Timur,1045
2022-03-28,Malaysia Timur,6893
2022-03-28,Tengah,1693
2022-03-29,Utara,14373
2022-03-29,Selatan,14565
2022-03-29,Pantai Timur,3436
2022-03-29,Malaysia Timur,8754
2022-03-29,Tengah,10677
2022-03-30,Utara,5895
2022-03-30,Selatan,3354
2022-03-30,Pantai Timur,14362
2022-03-30,Malaysia Timur,225
2022-03-30,Tengah,15636
2022-03-31,Utara,4893
2022-03-31,Selatan,14619
2022-03-31,Pantai Timur,7022
2022-03-31,Malaysia Timur,9151
2022-03-31,Tengah,5600
2022-04-01,Utara,12740
2022-04-01,Selatan,11259
2022-04-01,Pantai Timur,7996
2022-04-01,Malaysia Timur,9007
2022-04-01,Tengah,12946
2022-04-02,Utara,7683
2022-04-02,Selatan,4642
2022-04-02,Pantai Timur,13503
2022-04-02,Malaysia Timur,11312
2022-04-02,Tengah,7679
2022-04-03,Utara,8208
2022-04-03,Selatan,7339
2022-04-03,Pantai Timur,9435
2022-04-03,Malaysia Timur,2205
2022-04-03,Tengah,10716
2022-04-04,Utara,1069
2022-04-04,Selatan,3444
2022-04-04,Pantai Timur,10757
2022-04-04,Malaysia Timur,14434
2022-04-04,Tengah,14056
2022-04-05,Utara,1060
2022-04-05,Selatan,2327
2022-04-05,Pantai Timur,3420
2022-04-05,Malaysia Timur,14832
2022-04-05,Tengah,301
2022-04-06,Utara,12468
2022-04-06,Selatan,606
2022-04-06,Pantai Timur,3170
2022-04-06,Malaysia Timur,699
2022-04-06,Tengah,5088
2022-04-07,Utara,9331
2022-04-07,Selatan,190
2022-04-07,Pantai Timur,10492
2022-04-07,Malaysia Timur,980
2022-04-07,Tengah,2975
2022-04-08,Utara,6102
2022-04-08,Selatan,1184
2022-04-08,Pantai Timur,3327
2022-04-08,Malaysia Timur,3394
2022-04-08,Tengah,8319
2022-04-09,Utara,10257
2022-04-09,Selatan,1816
2022-04-09,Pantai Timur,5854
2022-04-09,Malaysia Timur,6709
2022-04-09,Tengah,569
2022-04-10,Utara,5442
2022-04-10,Selatan,1895
2022-04-10,Pantai Timur,2733
2022-04-10,Malaysia Timur,3863
2022-04-10,Tengah,12913
2022-04-11,Utara,7455
2022-04-11,Selatan,4014
2022-04-11,Pantai Timur,11093
2022-04-11,Malaysia Timur,1686
2022-04-11,Tengah,3009
2022-04-12,Utara,7806
2022-04-12,Selatan,154
2022-04-12,Pantai Timur,10729
2022-04-12,Malaysia Timur,1409
2022-04-12,Tengah,12249
2022-04-13,Utara,784
2022-04-13,Selatan,11367
2022-04-13,Pantai Timur,8096
2022-04-13,Malaysia Timur,7560
2022-04-13,Tengah,12533
2022-04-14,Utara,7343
2022-04-14,Selatan,7206
2022-04-14,Pantai Timur,5596
2022-04-14,Malaysia Timur,5801
2022-04-14,Tengah,2806
2022-04-15,Utara,537
2022-04-15,Selatan,5986
2022-04-15,Pantai Timur,1841
2022-04-15,Malaysia Timur,13208
2022-04-15,Tengah,10647
2022-04-16,Utara,8716
2022-04-16,Selatan,6971
2022-04-16,Pantai Timur,5625
2022-04-16,Malaysia Timur,2950
2022-04-16,Tengah,7992
2022-04-17,Utara,12323
2022-04-17,Selatan,4780
2022-04-17,Pantai Timur,12307
2022-04-17,Malaysia Timur,2368
2022-04-17,Tengah,12039
2022-04-18,Utara,6655
2022-04-18,Selatan,8173
2022-04-18,Pantai Timur,4495
2022-04-18,Malaysia Timur,10893
2022-04-18,Tengah,9163
2022-04-19,Utara,6002
2022-04-19,Selatan,6614
2022-04-19,Pantai Timur,9358
2022-04-19,Malaysia Timur,13403
2022-04-19,Tengah,15713
2022-04-20,Utara,13121
2022-04-20,Selatan,5919
2022-04-20,Pantai Timur,10966
2022-04-20,Malaysia Timur,10174
2022-04-20,Tengah,853
2022-04-21,Utara,4146
2022-04-21,Selatan,11928
2022-04-21,Pantai Timur,3769
2022-04-21,Malaysia Timur,574
2022-04-21,Tengah,11453
2022-04-22,Utara,1148
2022-04-22,Selatan,6293
2022-04-22,Pantai Timur,6457
2022-04-22,Malaysia Timur,14905
2022-04-22,Tengah,7509
2022-04-23,Utara,14640
2022-04-23,Selatan,9907
2022-04-23,Pantai Timur,4777
2022-04-23,Malaysia Timur,13125
2022-04-23,Tengah,3854
2022-04-24,Utara,13365
2022-04-24,Selatan,15338
2022-04-24,Pantai Timur,2491
2022-04-24,Malaysia Timur,10852
2022-04-24,Tengah,15328
2022-04-25,Utara,14599
2022-04-25,Selatan,3124
2022-04-25,Pantai Timur,5691
2022-04-25,Malaysia Timur,3051
2022-04-25,Tengah,4
2022-04-26,Utara,5222
2022-04-26,Selatan,5315
2022-04-26,Pantai Timur,4869
2022-04-26,Malaysia Timur,876
2022-04-26,Tengah,9183
2022-04-27,Utara,7027
2022-04-27,Selatan,15709
2022-04-27,Pantai Timur,4142
2022-04-27,Malaysia Timur,15202
2022-04-27,Tengah,6966
2022-04-28,Utara,7079
2022-04-28,Selatan,7987
2022-04-28,Pantai Timur,6799
2022-04-28,Malaysia Timur,12556
2022-04-28,Tengah,4465
2022-04-29,Utara,635
2022-04-29,Selatan,13417
2022-04-29,Pantai Timur,1693
2022-04-29,Malaysia Timur,9874
2022-04-29,Tengah,4752
2022-04-30,Utara,8311
2022-04-30,Selatan,830
2022-04-30,Pantai Timur,14098
2022-04-30,Malaysia Timur,11867
2022-04-30,Tengah,5177
2022-05-01,Utara,14262
2022-05-01,Selatan,9561
2022-05-01,Pantai Timur,8932
2022-05-01,Malaysia Timur,8308
2022-05-01,Tengah,5949
2022-05-02,Utara,2838
2022-05-02,Selatan,1150
2022-05-02,Pantai Timur,7560
2022-05-02,Malaysia Timur,1931
2022-05-02,Tengah,9204
2022-05-03,Utara,1664
2022-05-03,Selatan,1081
2022-05-03,Pantai Timur,12921
2022-05-03,Malaysia Timur,512
2022-05-03,Tengah,11041
2022-05-04,Utara,13407
2022-05-04,Selatan,7805
2022-05-04,Pantai Timur,5237
2022-05-04,Malaysia Timur,559
2022-05-04,Tengah,3672
2022-05-05,Utara,12775
2022-05-05,Selatan,7404
2022-05-05,Pantai Timur,13184
2022-05-05,Malaysia Timur,3343
2022-05-05,Tengah,13500
2022-05-06,Utara,4070
2022-05-06,Selatan,12991
2022-05-06,Pantai Timur,9662
2022-05-06,Malaysia Timur,580
2022-05-06,Tengah,15125
2022-05-07,Utara,7004
2022-05-07,Selatan,10486
2022-05-07,Pantai Timur,8130
2022-05-07,Malaysia Timur,3147
2022-05-07,Tengah,4249
2022-05-08,Utara,1679
2022-05-08,Selatan,3506
2022-05-08,Pantai Timur,13284
2022-05-08,Malaysia Timur,7253
2022-05-08,Tengah,2744
2022-05-09,Utara,11548
2022-05-09,Selatan,12237
2022-05-09,Pantai Timur,9435
2022-05-09,Malaysia Timur,5188
2022-05-09,Tengah,11310
2022-05-10,Utara,13296
2022-05-10,Selatan,2141
2022-05-10,Pantai Timur,14061
2022-05-10,Malaysia Timur,13245
2022-05-10,Tengah,11251
2022-05-11,Utara,12740
2022-05-11,Selatan,13515
2022-05-11,Pantai Timur,11151
2022-05-11,Malaysia Timur,10457
2022-05-11,Tengah,6617
2022-05-12,Utara,2479
2022-05-12,Selatan,6484
2022-05-12,Pantai Timur,12838
2022-05-12,Malaysia Timur,9827
2022-05-12,Tengah,13600
2022-05-13,Utara,7421
2022-05-13,Selatan,9949
2022-05-13,Pantai Timur,4452
2022-05-13,Malaysia Timur,10262
2022-05-13,Tengah,5881
2022-05-14,Utara,6665
2022-05-14,Selatan,14069
2022-05-14,Pantai Timur,15459
2022-05-14,Malaysia Timur,2849
2022-05-14,Tengah,11443
2022-05-15,Utara,7390
2022-05-15,Selatan,6905
2022-05-15,Pantai Timur,11922
2022-05-15,Malaysia Timur,2489
2022-05-15,Tengah,9823
2022-05-16,Utara,11008
2022-05-16,Selatan,9207
2022-05-16,Pantai Timur,9540
2022-05-16,Malaysia Timur,4611
2022-05-16,Tengah,11279
2022-05-17,Utara,2839
2022-05-17,Selatan,8527
2022-05-17,Pantai Timur,5878
2022-05-17,Malaysia Timur,14593
2022-05-17,Tengah,12784
2022-05-18,Utara,9087
2022-05-18,Selatan,6303
2022-05-18,Pantai Timur,11738
2022-05-18,Malaysia Timur,851
2022-05-18,Tengah,1687
2022-05-19,Utara,10123
2022-05-19,Selatan,6833
2022-05-19,Pantai Timur,11938
2022-05-19,Malaysia Timur,2427
2022-05-19,Tengah,9760
2022-05-20,Utara,4000
2022-05-20,Selatan,5052
2022-05-20,Pantai Timur,2738
2022-05-20,Malaysia Timur,11690
2022-05-20,Tengah,5732
2022-05-21,Utara,5387
2022-05-21,Selatan,8002
2022-05-21,Pantai Timur,5536
2022-05-21,Malaysia Timur,13479
2022-05-21,Tengah,3913
2022-05-22,Utara,1066
2022-05-22,Selatan,7723
2022-05-22,Pantai Timur,4380
2022-05-22,Malaysia Timur,10636
2022-05-22,Tengah,4107
2022-05-23,Utara,5726
2022-05-23,Selatan,3373
2022-05-23,Pantai Timur,12161
2022-05-23,Malaysia Timur,15612
2022-05-23,Tengah,10738
2022-05-24,Utara,8945
2022-05-24,Selatan,2082
2022-05-24,Pantai Timur,10966
2022-05-24,Malaysia Timur,11088
2022-05-24,Tengah,12377
2022-05-25,Utara,8967
2022-05-25,Selatan,6748
2022-05-25,Pantai Timur,15305
2022-05-25,Malaysia Timur,9817
2022-05-25,Tengah,11261
2022-05-26,Utara,417
2022-05-26,Selatan,8306
2022-05-26,Pantai Timur,8808
2022-05-26,Malaysia Timur,3974
2022-05-26,Tengah,3267
2022-05-27,Utara,825
2022-05-27,Selatan,7668
2022-05-27,Pantai Timur,5745
2022-05-27,Malaysia Timur,9708
2022-05-27,Tengah,11338
2022-05-28,Utara,412
2022-05-28,Selatan,7543
2022-05-28,Pantai Timur,7587
2022-05-28,Malaysia Timur,728
2022-05-28,Tengah,11540
2022-05-29,Utara,7164
2022-05-29,Selatan,11000
2022-05-29,Pantai Timur,8867
2022-05-29,Malaysia Timur,11657
2022-05-29,Tengah,5988
2022-05-30,Utara,2504
2022-05-30,Selatan,2967
2022-05-30,Pantai Timur,14527
2022-05-30,Malaysia Timur,2786
2022-05-30,Tengah,1122
2022-05-31,Utara,4079
2022-05-31,Selatan,1571
2022-05-31,Pantai Timur,5073
2022-05-31,Malaysia Timur,5104
2022-05-31,Tengah,2143
2022-06-01,Utara,9879
2022-06-01,Selatan,6806
2022-06-01,Pantai Timur,7357
2022-06-01,Malaysia Timur,12324
2022-06-01,Tengah,12043
2022-06-02,Utara,3440
2022-06-02,Selatan,3766
2022-06-02,Pantai Timur,5644
2022-06-02,Malaysia Timur,10518
2022-06-02,Tengah,14552
2022-06-03,Utara,2914
2022-06-03,Selatan,4968
2022-06-03,Pantai Timur,5917
2022-06-03,Malaysia Timur,13584
2022-06-03,Tengah,12144
2022-06-04,Utara,14397
2022-06-04,Selatan,8787
2022-06-04,Pantai Timur,14191
2022-06-04,Malaysia Timur,728
2022-06-04,Tengah,1365
2022-06-05,Utara,4492
2022-06-05,Selatan,698
2022-06-05,Pantai Timur,7186
2022-06-05,Malaysia Timur,14512
2022-06-05,Tengah,13923
2022-06-06,Utara,395
2022-06-06,Selatan,14780
2022-06-06,Pantai Timur,7400
2022-06-06,Malaysia Timur,8082
2022-06-06,Tengah,4171
2022-06-07,Utara,4360
2022-06-07,Selatan,2502
2022-06-07,Pantai Timur,10011
2022-06-07,Malaysia Timur,717
2022-06-07,Tengah,2782
2022-06-08,Utara,15743
2022-06-08,Selatan,4946
2022-06-08,Pantai Timur,11769
2022-06-08,Malaysia Timur,5486
2022-06-08,Tengah,8335
2022-06-09,Utara,4980
2022-06-09,Selatan,11332
2022-06-09,Pantai Timur,7266
2022-06-09,Malaysia Timur,4491
2022-06-09,Tengah,7192
2022-06-10,Utara,15283
2022-06-10,Selatan,11130
2022-06-10,Pantai Timur,5588
2022-06-10,Malaysia Timur,7651
2022-06-10,Tengah,3636
2022-06-11,Utara,11414
2022-06-11,Selatan,1167
2022-06-11,Pantai Timur,10808
2022-06-11,Malaysia Timur,1062
2022-06-11,Tengah,2156
2022-06-12,Utara,7860
2022-06-12,Selatan,5161
2022-06-12,Pantai Timur,5305
2022-06-12,Malaysia Timur,11174
2022-06-12,Tengah,6541
2022-06-13,Utara,11486
2022-06-13,Selatan,4729
2022-06-13,Pantai Timur,9348
2022-06-13,Malaysia Timur,7330
2022-06-13,Tengah,5334
2022-06-14,Utara,8924
2022-06-14,Selatan,4330
2022-06-14,Pantai Timur,8010
2022-06-14,Malaysia Timur,6801
2022-06-14,Tengah,4846
2022-06-15,Utara,6731
2022-06-15,Selatan,15368
2022-06-15,Pantai Timur,7241
2022-06-15,Malaysia Timur,953
2022-06-15,Tengah,2539
2022-06-16,Utara,7056
2022-06-16,Selatan,11516
2022-06-16,Pantai Timur,11493
2022-06-16,Malaysia Timur,1542
2022-06-16,Tengah,5293
2022-06-17,Utara,13964
2022-06-17,Selatan,1191
2022-06-17,Pantai Timur,6313
2022-06-17,Malaysia Timur,13704
2022-06-17,Tengah,11185
2022-06-18,Utara,6938
2022-06-18,Selatan,2681
2022-06-18,Pantai Timur,9409
2022-06-18,Malaysia Timur,1540
2022-06-18,Tengah,6172
2022-06-19,Utara,11428
2022-06-19,Selatan,5541
2022-06-19,Pantai Timur,10578
2022-06-19,Malaysia Timur,11911
2022-06-19,Tengah,13807
2022-06-20,Utara,9580
2022-06-20,Selatan,10048
2022-06-20,Pantai Timur,1365
2022-06-20,Malaysia Timur,8691
2022-06-20,Tengah,9872
2022-06-21,Utara,8702
2022-06-21,Selatan,7494
2022-06-21,Pantai Timur,4312
2022-06-21,Malaysia Timur,1324
2022-06-21,Tengah,9347
2022-06-22,Utara,10019
2022-06-22,Selatan,3141
2022-06-22,Pantai Timur,7419
2022-06-22,Malaysia Timur,3486
2022-06-22,Tengah,1810
2022-06-23,Utara,6588
